row_index	local_index	state_x	state_y	state_z	x	y	z	nearest_center_distance	terminal_support_weight	parent_product_weight	parent_minus_terminal_weight	u_direct	row_action	ratio_row_action_over_u_direct	row_residual	residual_abs	residual_sq_fraction_direct_core	residual_sq_fraction_all	analytic_point_potential	analytic_equal_width_gaussian_average	row_action_minus_point	u_direct_minus_point	u_direct_minus_equal_width_average	boundary	core_center	small_weight_q25	local_spacing_x	local_spacing_y	local_spacing_z	local_spacing_min	local_spacing_geom
76	76	8	5	5	0.3073661477337257	-0.6997875680278085	-0.6997875680278085	1.0362814431925431	0.2695849336621883	0.2695849336621883	0.0	0.9622663278431124	0.9661561103820159	1.0040423138858265	0.0010486267677106698	0.0010486267677106698	8.799341635119018e-6	8.751018568890533e-6	0.9649560395436496	0.9617288671042635	0.0012000708383662628	-0.002689711700537223	0.0005374607388488606	true	false	false	0.30736614773372306	0.3924214202940908	0.3924214202940908	0.30736614773372306	0.36173218210921393
77	77	8	5	6	0.3073661477337257	-0.6997875680278085	-0.30736614773371773	0.8238024871967861	0.2286436917176931	0.2286436917176931	0.0	1.1904260822376567	1.214317717431408	1.0200698183198758	0.005462671671871644	0.005462671671871644	0.00023879129868599564	0.0002374799360614175	1.2126893688724856	1.189845035871631	0.0016283485589223545	-0.022263286634828905	0.0005810463660256282	true	false	false	0.30736614773372306	0.3924214202940908	0.3073661477337204	0.3073661477337204	0.3334429896192482
78	78	8	5	7	0.3073661477337257	-0.6997875680278085	2.6645352591003757e-15	0.764314456973663	0.21407053855325597	0.21407053855325597	0.0	1.2687916533525672	1.3076757151578624	1.030646530265667	0.008323932051797656	0.008323932051797656	0.0005544537860132276	0.000551408909688024	1.3054394959555684	1.2682829595332263	0.0022362192022939986	-0.036647842603001246	0.0005086938193408219	true	false	false	0.30736614773372306	0.3924214202940908	0.3073661477337204	0.3073661477337204	0.3334429896192482
79	79	8	5	8	0.3073661477337257	-0.6997875680278085	0.3073661477337257	0.823802487196789	0.22864369171770235	0.22864369171770235	0.0	1.1904260822376471	1.214317717431395	1.020069818319873	0.005462671671871144	0.005462671671871144	0.00023879129868595195	0.00023747993606137405	1.2126893688724814	1.1898450358716275	0.0016283485589136948	-0.022263286634834234	0.000581046366019633	true	false	false	0.30736614773372306	0.3924214202940908	0.30736614773372306	0.30736614773372306	0.3334429896192491
80	80	8	5	9	0.3073661477337257	-0.6997875680278085	0.6997875680278121	1.0362814431925456	0.2695849336621965	0.2695849336621965	0.0	0.9622663278431033	0.9661561103820118	1.0040423138858316	0.001048626767712002	0.001048626767712002	8.799341635141378e-6	8.75101856891277e-6	0.9649560395436473	0.9617288671042613	0.0012000708383644865	-0.0026897117005439952	0.0005374607388419772	true	false	false	0.30736614773372306	0.3924214202940908	0.39242142029408633	0.30736614773372306	0.36173218210921254
81	81	8	6	5	0.3073661477337257	-0.30736614773371773	-0.6997875680278085	0.8238024871967861	0.2286436917176931	0.2286436917176931	0.0	1.1904260822376567	1.2143177174314086	1.0200698183198764	0.005462671671871755	0.005462671671871755	0.00023879129868600534	0.00023747993606142715	1.2126893688724856	1.189845035871631	0.0016283485589230207	-0.022263286634828905	0.0005810463660256282	true	false	false	0.30736614773372306	0.3073661477337204	0.3924214202940908	0.3073661477337204	0.3334429896192482
82	82	8	6	6	0.3073661477337257	-0.30736614773371773	-0.30736614773371773	0.5323737844015253	0.19392010173611543	0.19392010173611543	0.0	1.6303153954149758	1.812478059914676	1.1117346158982526	0.03532500243230369	0.03532500243230369	0.009985566341765388	0.009930728922823017	1.8159922813203422	1.6302013405189781	-0.0035142214056662624	-0.18567688590536635	0.00011405489599769503	false	false	true	0.30736614773372306	0.3073661477337204	0.3073661477337204	0.3073661477337204	0.3073661477337213
83	83	8	6	7	0.3073661477337257	-0.30736614773371773	2.6645352591003757e-15	0.43468137473940166	0.18156013972258678	0.18156013972258678	0.0	1.796789891869039	2.1084992803826155	1.1734812678567181	0.056594000131367006	0.056594000131367006	0.02563002816676172	0.025489276551482084	2.1117006496040593	1.7969537676033565	-0.0032013692214438727	-0.3149107577350203	-0.0001638757343174202	false	false	true	0.30736614773372306	0.3073661477337204	0.3073661477337204	0.3073661477337204	0.3073661477337213
84	84	8	6	8	0.3073661477337257	-0.30736614773371773	0.3073661477337257	0.5323737844015298	0.19392010173612328	0.19392010173612328	0.0	1.6303153954149598	1.8124780599146573	1.111734615898252	0.03532500243230463	0.03532500243230463	0.00998556634176592	0.009930728922823547	1.8159922813203293	1.6302013405189706	-0.0035142214056720356	-0.18567688590536946	0.00011405489598925733	false	false	true	0.30736614773372306	0.3073661477337204	0.30736614773372306	0.3073661477337204	0.30736614773372223
85	85	8	6	9	0.3073661477337257	-0.30736614773371773	0.6997875680278121	0.8238024871967891	0.22864369171770005	0.22864369171770005	0.0	1.190426082237644	1.2143177174313966	1.020069818319877	0.0054626716718721435	0.0054626716718721435	0.0002387912986860393	0.00023747993606146092	1.2126893688724811	1.1898450358716273	0.0016283485589154711	-0.02226328663483712	0.0005810463660167464	true	false	false	0.30736614773372306	0.3073661477337204	0.39242142029408633	0.3073661477337204	0.3334429896192469
86	86	8	7	5	0.3073661477337257	2.6645352591003757e-15	-0.6997875680278085	0.764314456973663	0.21407053855325595	0.21407053855325595	0.0	1.2687916533525672	1.3076757151578606	1.0306465302656658	0.008323932051797267	0.008323932051797267	0.0005544537860131757	0.0005514089096879725	1.3054394959555684	1.2682829595332263	0.0022362192022922223	-0.036647842603001246	0.0005086938193408219	true	false	false	0.30736614773372306	0.3073661477337204	0.3924214202940908	0.3073661477337204	0.3334429896192482
87	87	8	7	6	0.3073661477337257	2.6645352591003757e-15	-0.30736614773371773	0.43468137473940166	0.18156013972258675	0.18156013972258675	0.0	1.796789891869039	2.108499280382617	1.1734812678567188	0.056594000131367284	0.056594000131367284	0.02563002816676198	0.025489276551482337	2.1117006496040593	1.7969537676033565	-0.0032013692214425404	-0.3149107577350203	-0.0001638757343174202	false	false	true	0.30736614773372306	0.3073661477337204	0.3073661477337204	0.3073661477337204	0.3073661477337213
88	88	8	7	7	0.3073661477337257	2.6645352591003757e-15	2.6645352591003757e-15	0.3073661477337257	0.16998796948313505	0.16998796948313505	0.0	2.001703484616946	2.5413558491857575	1.2695965554918747	0.09173440967982482	0.09173440967982482	0.06733995807626399	0.06697014935773948	2.541276389102084	2.0020137334157226	7.946008367332169e-5	-0.5395729044851381	-0.00031024879877650235	false	false	true	0.30736614773372306	0.3073661477337204	0.3073661477337204	0.3073661477337204	0.3073661477337213
89	89	8	7	8	0.3073661477337257	2.6645352591003757e-15	0.3073661477337257	0.43468137473940727	0.1815601397225941	0.1815601397225941	0.0	1.7967898918690202	2.108499280382593	1.173481267856718	0.056594000131368616	0.056594000131368616	0.025630028166763186	0.025489276551483538	2.1117006496040407	1.7969537676033471	-0.0032013692214478695	-0.31491075773502053	-0.00016387573432696811	false	false	true	0.30736614773372306	0.3073661477337204	0.30736614773372306	0.3073661477337204	0.30736614773372223
90	90	8	7	9	0.3073661477337257	2.6645352591003757e-15	0.6997875680278121	0.7643144569736662	0.21407053855326247	0.21407053855326247	0.0	1.2687916533525534	1.3076757151578522	1.0306465302656702	0.008323932051798655	0.008323932051798655	0.0005544537860133606	0.0005514089096881564	1.305439495955563	1.2682829595332221	0.0022362192022891136	-0.036647842603009684	0.000508693819331274	true	false	false	0.30736614773372306	0.3073661477337204	0.39242142029408633	0.3073661477337204	0.3334429896192469
91	91	8	8	5	0.3073661477337257	0.3073661477337257	-0.6997875680278085	0.823802487196789	0.22864369171770235	0.22864369171770235	0.0	1.1904260822376471	1.2143177174313953	1.0200698183198733	0.0054626716718712	0.0054626716718712	0.0002387912986859568	0.00023747993606137888	1.2126893688724814	1.1898450358716275	0.0016283485589139168	-0.022263286634834234	0.000581046366019633	true	false	false	0.30736614773372306	0.30736614773372306	0.3924214202940908	0.30736614773372306	0.3334429896192491
92	92	8	8	6	0.3073661477337257	0.3073661477337257	-0.30736614773371773	0.5323737844015298	0.19392010173612326	0.19392010173612326	0.0	1.6303153954149598	1.8124780599146577	1.1117346158982524	0.035325002432304686	0.035325002432304686	0.009985566341765954	0.00993072892282358	1.8159922813203293	1.6302013405189706	-0.0035142214056715915	-0.18567688590536946	0.00011405489598925733	false	false	true	0.30736614773372306	0.30736614773372306	0.3073661477337204	0.3073661477337204	0.30736614773372223
93	93	8	8	7	0.3073661477337257	0.3073661477337257	2.6645352591003757e-15	0.43468137473940727	0.1815601397225941	0.1815601397225941	0.0	1.7967898918690202	2.1084992803825933	1.1734812678567181	0.05659400013136867	0.05659400013136867	0.025630028166763234	0.025489276551483586	2.1117006496040407	1.7969537676033471	-0.0032013692214474254	-0.31491075773502053	-0.00016387573432696811	false	false	true	0.30736614773372306	0.30736614773372306	0.3073661477337204	0.3073661477337204	0.30736614773372223
94	94	8	8	8	0.3073661477337257	0.3073661477337257	0.3073661477337257	0.5323737844015345	0.1939201017361311	0.1939201017361311	0.0	1.6303153954149425	1.812478059914636	1.1117346158982508	0.03532500243230524	0.03532500243230524	0.009985566341766266	0.00993072892282389	1.8159922813203164	1.6302013405189626	-0.0035142214056804733	-0.1856768859053739	0.00011405489597993146	false	false	true	0.30736614773372306	0.30736614773372306	0.30736614773372306	0.30736614773372306	0.30736614773372306
95	95	8	8	9	0.3073661477337257	0.3073661477337257	0.6997875680278121	0.823802487196792	0.2286436917177093	0.2286436917177093	0.0	1.1904260822376338	1.2143177174313888	1.0200698183198793	0.005462671671872921	0.005462671671872921	0.00023879129868610726	0.0002374799360615285	1.212689368872477	1.1898450358716235	0.0016283485589119184	-0.022263286634843116	0.0005810463660103071	true	false	false	0.30736614773372306	0.30736614773372306	0.39242142029408633	0.30736614773372306	0.33344298961924784
