localized_mode	z_center	localized_shape	localized_fake_rdm_weight	localized_representability	localized_rule_bucket	dominant_svd_mode	dominant_svd_overlap	dominant_svd_status	dominant_svd_representability	dominant_svd_fake_rdm_weight	dominant_svd_label	dominant_svd_channel
31	-1.8133236567074882	atom_local	0.7809162970578185	0.9895987140436989	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	100	0.15293187128121674	dropped	0.9679052218120436	0.008928597429457931	a_px7	px
32	-1.6902185584962943	atom_local	0.05093478027647342	0.8612732131837884	fake_high_ambiguous_or_poor	108	0.2675770205593024	dropped	0.7732092411339045	0.0021607095854798805	b_s4	s
33	-1.6338218222636345	atom_local	0.7636623139360108	0.9981726431241222	strict_fake_ge_1e_m3_repr_ge_0p99	82	0.12209581792692938	kept	0.9975072104110831	0.42344488317230367	a_dxy5	dxy
34	-1.6338218222636236	atom_local	0.7608110323347672	0.9981629988568227	strict_fake_ge_1e_m3_repr_ge_0p99	82	0.11983337022747535	kept	0.9975072104110831	0.42344488317230367	a_dxy5	dxy
35	-1.600937599909333	atom_local	0.8233614763600651	0.9920505340562757	strict_fake_ge_1e_m3_repr_ge_0p99	44	0.12960853291599186	kept	0.9998278998338949	0.7343285990024118	b_s4	s
36	-1.5893942608439706	atom_local	0.015309193227900156	0.9480206250889278	fake_high_ambiguous_or_poor	104	0.19680324493836013	dropped	0.9251530786939351	0.014946800013860336	b_s6	s
37	-1.587669528652383	atom_local	0.2674396114548287	0.9931863946650804	strict_fake_ge_1e_m3_repr_ge_0p99	15	0.22886334129062308	kept	0.9999888501519308	1.3681200820391055	b_s3	s
38	-1.5873828394617993	atom_local	0.7630953866043775	0.9994431561952175	strict_fake_ge_1e_m3_repr_ge_0p99	46	0.1319422604677517	kept	0.9998146133372381	0.78545850166632	b_dyy3	dyy
39	-1.587382839461794	atom_local	0.8956392726358622	0.9995415034973258	strict_fake_ge_1e_m3_repr_ge_0p99	45	0.12072876364011349	kept	0.9998267433486224	1.1714262723266182	a_dxy3	dxy
40	-1.586112637089921	atom_local	0.7353392267550806	0.9989184124760399	strict_fake_ge_1e_m3_repr_ge_0p99	27	0.21274926120573537	kept	0.9999522614527221	0.6100706310481836	b_dxx2	dxx
41	-1.5861126370899112	atom_local	0.9167699441641135	0.999147768542997	strict_fake_ge_1e_m3_repr_ge_0p99	29	0.17886435082668223	kept	0.9999316474173153	0.8824481957402179	a_dxy2	dxy
42	-1.3416603291017877	atom_local	0.8146723541453768	0.9937520684548833	strict_fake_ge_1e_m3_repr_ge_0p99	34	0.10483567950643322	kept	0.9999051152953333	0.9700517382762788	b_px3	px
43	-1.3416603291005953	atom_local	0.8146723541421115	0.993752068455046	strict_fake_ge_1e_m3_repr_ge_0p99	35	0.10483567953349979	kept	0.9999051152953308	0.9700517382709521	b_py3	py
44	-1.2438228097631858	atom_local	1.4465492605956003	0.9961364617915923	strict_fake_ge_1e_m3_repr_ge_0p99	76	0.1906553313603249	kept	0.9978094322171308	0.17973516435818598	b_px7	px
45	-1.2438228097619013	atom_local	1.4465492605941859	0.9961364617913834	strict_fake_ge_1e_m3_repr_ge_0p99	77	0.19065533139619448	kept	0.997809432217078	0.1797351643828853	b_py7	py
46	-1.208323964674472	atom_local	1.9626623921116761	0.9885937672550089	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	75	0.1943514766427257	kept	0.9982109886370008	0.055367035356219604	b_s4	s
47	-1.1175453938784585	bond_axis_midbond	1.0356445247527541	0.992151410190249	strict_fake_ge_1e_m3_repr_ge_0p99	20	0.16743567572055346	kept	0.9999639941683557	0.6860384174889873	a_pz7	pz
48	-0.9775953963364614	atom_local	0.7216522046864546	0.9816478644757278	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	70	0.1460545372493329	kept	0.9989483629519829	0.36257536065315865	a_s4	s
49	-0.8665176261604106	atom_local	0.8437804378621432	0.9969269102257114	strict_fake_ge_1e_m3_repr_ge_0p99	92	0.14689372635960263	kept	0.9937024873601702	0.150400985643231	b_px7	px
50	-0.8665176261602382	atom_local	0.8437804378620415	0.9969269102257298	strict_fake_ge_1e_m3_repr_ge_0p99	93	0.14689372635227738	kept	0.9937024873600776	0.1504009856375484	b_py7	py
