localized_mode	z_center	x_center	y_center	rms_x	rms_y	rms_z	owner1_fraction	owner2_fraction	dominant_owner	dominant_label	dominant_label_group	dominant_channel	width	midpoint_tail	other_center_tail	fake_rdm_weight	representability	strict_keep	relaxed_atom_local_keep	shape	rule_bucket	compact_fraction	near_fraction	s_fraction	px_fraction	py_fraction	pz_fraction	d_fraction	top_labels
41	-1.5861126370899112	6.124327365994418e-15	6.729325052786524e-15	1.0906403409276375	1.0906403409277887	0.6370101397937682	0.9998935550687797	0.00010644493122033439	1	a_dxy5	a_dxy	dxy	1.7809603660636923	0.339404917431998	0.10773195972726672	0.9167699441641135	0.999147768542997	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.0002697282032204347	0.99973027179678	1.4983194727249227e-16	8.207960382926398e-24	7.233846134790819e-24	1.0397566161627942e-21	1.0	a_dxy5:5.899023061471e-01,a_dyy5:1.287825028846e-01,a_dxx5:1.287825022336e-01,a_dxy2:4.871792977218e-02,a_dxy3:3.852451157585e-02,a_dxy6:1.533552352885e-02,a_dxx2:1.063568808259e-02,a_dyy2:1.063568804262e-02
42	-1.3416603291017877	5.205126613062349e-12	-2.6945585964779e-12	2.0728804317333602	1.5266340113618475	1.3520241588436923	0.9288728106991434	0.07112718930085647	1	a_px7	a_px	px	2.723125155787443	0.5532603886599968	0.27585433045237456	0.8146723541453768	0.9937520684548833	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	4.228113203051772e-5	0.9999577188679695	7.252492252990275e-22	0.7957082485261932	0.2030735911684149	3.3533941170586306e-23	0.0012181603053921146	a_px7:3.486274572001e-01,a_px3:3.446595565981e-01,a_py7:8.897360288127e-02,a_py3:8.796095053522e-02,b_px3:2.789044989476e-02,b_px7:2.683725249711e-02,a_px8:1.560661109562e-02,a_px6:1.202718294536e-02
43	-1.3416603291005953	-1.3341459343140048e-12	-2.5991843800416944e-12	1.526634011336941	2.0728804316998737	1.3520241588289919	0.928872810702807	0.07112718929719296	1	a_py7	a_py	py	2.72312515578781	0.55326038866002	0.27585433045240826	0.8146723541421115	0.993752068455046	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	4.2281132029680575e-5	0.9999577188679698	4.193983215675921e-21	0.20307359117676824	0.7957082485178479	1.7693066153377642e-23	0.0012181603053835319	a_py7:3.486274571982e-01,a_py3:3.446595565960e-01,a_px7:8.897360288502e-02,a_px3:8.796095053884e-02,b_py3:2.789044989276e-02,b_py7:2.683725249515e-02,a_py8:1.560661109552e-02,a_py6:1.202718294525e-02
44	-1.2438228097631858	1.8380922152492964e-11	-3.2031487935033217e-12	3.078279653524218	1.8402193840817656	1.6572941046553942	0.788712653601606	0.21128734639839417	1	a_px3	a_px	px	2.7014607978697893	0.5529859932584097	0.27463902728780215	1.4465492605956003	0.9961364617915923	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.000124184754914787	0.9998758152450853	5.023598431432731e-21	0.971277789855941	0.026508008257220137	1.6932736745429747e-22	0.0022142018868388275	a_px3:3.680800699607e-01,a_px7:3.608199264664e-01,b_px3:1.016275060707e-01,b_px7:9.822265991860e-02,a_px6:1.478337283632e-02,a_px8:1.247425926569e-02,a_py3:1.004560140853e-02,a_py7:9.847458358509e-03
45	-1.2438228097619013	-1.8055203142276565e-12	-1.0459952140455134e-11	1.8402193840978578	3.0782796535518946	1.657294104673377	0.7887126536104868	0.21128734638951321	1	a_py3	a_py	py	2.701460797870018	0.5529859932584236	0.2746390272878242	1.4465492605941859	0.9961364617913834	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.00012418475491321086	0.9998758152450867	7.14645666365574e-22	0.02650800825952253	0.9712777898536519	1.5809519771384819e-22	0.002214201886825634	a_py3:3.680800699637e-01,a_py7:3.608199264697e-01,b_py3:1.016275060664e-01,b_py7:9.822265991437e-02,a_py6:1.478337283637e-02,a_py8:1.247425926583e-02,a_px3:1.004560140959e-02,a_px7:9.847458359590e-03
46	-1.208323964674472	-1.841166447782145e-11	1.733448376434378e-11	3.29182131041623	3.2918213104155702	2.232354655801393	0.7315842950652119	0.2684157049347884	1	a_s6	a_s	s	2.4566558053482175	0.426476219215898	0.20796842993010894	1.9626623921116761	0.9885937672550089	false	true	atom_local	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	0.15110059684561752	0.8488994031543828	0.7879733903402968	8.387862442532e-24	1.06575761698035e-23	0.15176366849626532	0.06026294116343802	a_s6:3.225846882152e-01,a_s3:9.947103788476e-02,a_pz7:8.685989435599e-02,a_s4:8.103100718446e-02,b_s6:7.624982370653e-02,b_s4:7.107774996882e-02,b_s3:4.511468614941e-02,a_s7:3.938966345316e-02
47	-1.1175453938784585	1.176048900828342e-12	-6.435807201131397e-13	1.7679465069317926	1.767946506932538	1.579014780494372	0.42652106365704934	0.5734789363429504	2	b_s6	b_s	s	2.3778457959959787	0.4398495460278732	0.20851393820759143	1.0356445247527541	0.992151410190249	true	false	bond_axis_midbond	strict_fake_ge_1e_m3_repr_ge_0p99	0.09594417360840579	0.9040558263915939	0.672812720055733	3.154692352296496e-24	2.3735399154098355e-24	0.17599706210889407	0.15119021783537306	b_s6:1.837906708033e-01,b_s4:1.223866340131e-01,a_s6:1.116352741672e-01,b_pz7:8.554475134646e-02,b_s3:6.441399959640e-02,a_s7:5.930439410545e-02,a_pz7:3.643806520717e-02,a_s8:3.621676287626e-02
48	-0.9775953963364614	7.938801220704883e-13	-5.9181507204883116e-12	2.132357594766604	2.132357594766568	1.8408936791111414	0.8919336365564264	0.10806636344357357	1	a_s6	a_s	s	2.8953238260930263	0.512492425953705	0.2687447056358843	0.7216522046864546	0.9816478644757278	false	true	atom_local	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	0.040489024224091195	0.9595109757759086	0.5878308137450009	2.1500160786370194e-25	3.3916396193332877e-25	0.3825094463155734	0.029659739939425844	a_s6:2.051753420693e-01,a_pz7:1.911583193088e-01,a_pz3:1.497376272374e-01,a_s7:8.578794943040e-02,a_s4:7.503533670949e-02,a_s9:6.118773107528e-02,a_s8:3.690346820341e-02,a_s3:3.507326005699e-02
49	-0.8665176261604106	-2.4755198395583594e-13	9.645868584548022e-14	1.7996358267047547	1.238608859020376	1.0906258001961053	0.9161329088229518	0.08386709117704812	1	a_px7	a_px	px	2.683377598592519	0.545585987462132	0.2694976666229751	0.8437804378621432	0.9969269102257114	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	1.1922772582792892e-5	0.9999880772274172	9.271618039833454e-23	0.8516527932537684	0.1419540023911777	1.1146223285602257e-23	0.0063932043550538374	a_px7:3.584196402024e-01,a_px3:3.545341279526e-01,a_py7:5.974160228852e-02,a_py3:5.909396275800e-02,b_px3:3.333661241943e-02,b_px7:3.227232437432e-02,a_px6:2.761003156030e-02,a_px5:1.721756323976e-02
50	-0.8665176261602382	3.7425940352228724e-13	9.279773499074044e-13	1.2386088590178288	1.7996358267010577	1.090625800194188	0.916132908826383	0.08386709117361715	1	a_py7	a_py	py	2.6833775985927177	0.5455859874621544	0.26949766662299657	0.8437804378620415	0.9969269102257298	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	1.19227725828548e-5	0.9999880772274173	4.8339906866706755e-22	0.1419540023943144	0.8516527932506387	1.0903417250301723e-23	0.0063932043550469185	a_py7:3.584196402027e-01,a_py3:3.545341279530e-01,a_px7:5.974160228982e-02,a_px3:5.909396275926e-02,b_py3:3.333661241766e-02,b_py7:3.227232437255e-02,a_py6:2.761003156028e-02,a_py5:1.721756323979e-02
51	-0.7807859100541782	-3.805498685261801e-13	1.2600185875393812e-14	2.150756785935428	1.2799219647519717	1.3541961538077578	0.7429486699441674	0.2570513300558326	1	a_px7	a_px	px	2.7049036024351163	0.5518640430785391	0.2745175422927416	1.2042976704723902	0.9972840369146578	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	1.970901798999491e-5	0.9999802909820101	5.04646626871918e-22	0.9741370111789662	0.022989955368850443	1.0932308113306609e-24	0.002873033452183289	a_px7:3.462517447020e-01,a_px3:3.315103920632e-01,b_px7:1.204512766891e-01,b_px3:1.187849426218e-01,a_px6:1.886508903284e-02,a_px8:1.245905758165e-02,a_px4:1.205075994880e-02,a_py7:8.171655594385e-03
52	-0.7807859100535202	3.2869793273282154e-13	2.2462146674499973e-12	1.2799219647562659	2.1507567859427845	1.3541961538129874	0.7429486699519813	0.25705133004801867	1	a_py7	a_py	py	2.7049036024350737	0.5518640430785297	0.27451754229273395	1.2042976704695594	0.9972840369145232	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	1.9709017990009626e-5	0.9999802909820099	2.2448979933972644e-22	0.02298995536979472	0.9741370111780195	2.0199008575483316e-24	0.00287303345218573	a_py7:3.462517447053e-01,a_py3:3.315103920664e-01,b_py7:1.204512766853e-01,b_py3:1.187849426181e-01,a_py6:1.886508903298e-02,a_py8:1.245905758178e-02,a_py4:1.205075994886e-02,a_px7:8.171655594820e-03
53	-0.63043892490745	2.4547127216492967e-13	-1.262977171744812e-12	1.7718944102367447	1.7718944102365168	1.5889926543997974	0.8248208591605372	0.17517914083946323	1	a_s5	a_s	s	2.587725220571192	0.4729457245128979	0.2329546545877546	0.7850489857924945	0.9854853500892827	false	true	atom_local	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	0.1394777000911377	0.8605222999088622	0.5755202885596883	4.187958604658864e-26	1.156825333363942e-25	0.3396146627820016	0.08486504865831014	a_s5:2.647637345091e-01,a_pz7:1.443445629249e-01,a_pz3:1.385747827502e-01,a_s8:9.393724686796e-02,a_s3:6.818072695924e-02,b_s5:6.368402419171e-02,b_pz7:2.510414714814e-02,b_pz3:2.416710237994e-02
54	-0.4878394240787802	-3.2575738240656644e-13	-1.2246976331761156e-13	1.0774557246510081	1.077455724651171	0.9461954698637428	0.8882218541678787	0.11177814583212131	1	a_pz3	a_pz	pz	2.9348267907328602	0.5245600269743841	0.2752473670144497	0.9198372314719541	0.9910928264277137	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.014192604003285902	0.9858073959967139	0.4031970373586448	2.757388313225439e-25	1.4563073710291875e-25	0.5453064678981321	0.05149649474322307	a_pz3:2.431330942987e-01,a_pz7:1.956683449300e-01,a_s7:1.405042351176e-01,a_s8:9.596277299812e-02,a_s9:5.457415439525e-02,a_s4:4.722906753465e-02,b_s8:3.061833323751e-02,a_pz6:2.410849887871e-02
55	0.4878394240781514	-3.7095204198481547e-13	-3.568025348222523e-13	1.0774557246408456	1.07745572464112	0.9461954698541586	0.11177814582911125	0.888221854170889	2	b_pz3	b_pz	pz	2.934826790720338	0.5245600269681374	0.2752473670119862	0.9198372314725247	0.9910928261697816	true	true	atom_local	strict_fake_ge_1e_m3_repr_ge_0p99	0.01419260401765071	0.9858073959823491	0.40319703738967994	3.958346822451132e-25	4.499352355221147e-25	0.5453064678732154	0.05149649473710467	b_pz3:2.431330942884e-01,b_pz7:1.956683449253e-01,b_s7:1.405042351315e-01,b_s8:9.596277298826e-02,b_s9:5.457415439914e-02,b_s4:4.722906754808e-02,a_s8:3.061833323839e-02,b_pz6:2.410849887684e-02
56	0.6304389249024567	-1.703268181520451e-12	-2.8044050477359676e-12	1.7718944102621257	1.7718944102610785	1.5889926544194473	0.1751791408138692	0.8248208591861307	2	b_s5	b_s	s	2.5877252205716252	0.47294572451352845	0.23295465458803902	0.7850489857744024	0.9854853499258289	false	true	atom_local	relaxed_atom_local_fake_ge_1e_m3_repr_ge_0p95	0.1394777000905124	0.8605222999094875	0.575520288554467	8.903100174699716e-25	1.4043036145100615e-24	0.3396146627862868	0.08486504865924602	b_s5:2.647637345170e-01,b_pz7:1.443445629295e-01,b_pz3:1.385747827530e-01,b_s8:9.393724686973e-02,b_s3:6.818072696369e-02,a_s5:6.368402418250e-02,a_pz7:2.510414714684e-02,a_pz3:2.416710237810e-02
